run_accession	experiment_accession	experiment_alias	biosample	sample_alias	library_strategy	library_source	library_layout	instrument_model	total_bases	total_spots	sra_size_bytes	md5	url
SRR18920253	SRX14997900	Kiribina22	SAMN27766140	Kiribina22	WGS	GENOMIC	PAIRED	HiSeq X Ten	41091320979	138799501	15187356162	4975026900d7932a71aaa76ae1ce544d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920253/SRR18920253
SRR18920254	SRX14997899	Kiribina21	SAMN27766139	Kiribina21	WGS	GENOMIC	PAIRED	HiSeq X Ten	20762860967	70713725	7538652177	ec51155c38bf8d05e0ffe2bb8454afae	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920254/SRR18920254
SRR18920255	SRX14997898	Kiribina20	SAMN27766138	Kiribina20	WGS	GENOMIC	PAIRED	HiSeq X Ten	21831746280	74277771	7247418813	3c415c97e1f454d3daddfa59152814a5	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920255/SRR18920255
SRR18920256	SRX14997897	Kiribina19	SAMN27766137	Kiribina19	WGS	GENOMIC	PAIRED	HiSeq X Ten	12759633927	43194781	5178139998	a5b3eb6c6c72400e66902642c7e27189	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920256/SRR18920256
SRR18920257	SRX14997896	Kiribina18	SAMN27766136	Kiribina18	WGS	GENOMIC	PAIRED	HiSeq X Ten	12670257597	43165566	5306972994	29450fac8f8a07b3ebc8994254b29acb	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920257/SRR18920257
SRR18920258	SRX14997895	Kiribina17	SAMN27766135	Kiribina17	WGS	GENOMIC	PAIRED	HiSeq X Ten	11847838863	40122230	4954933019	e37c5727408d789437ff18ea70f5f872	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920258/SRR18920258
SRR18920259	SRX14997894	Kiribina16	SAMN27766134	Kiribina16	WGS	GENOMIC	PAIRED	HiSeq X Ten	11760217086	39680536	5152541128	2276d74abb259b92f64f714164835a82	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920259/SRR18920259
SRR18920260	SRX14997893	Folonzo11	SAMN27766044	Folonzo11	WGS	GENOMIC	PAIRED	HiSeq X Ten	12302825071	41672025	3837831033	8ac22cd0d9641599dd7b910374d1cbac	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920260/SRR18920260
SRR18920261	SRX14997892	Folonzo2	SAMN27766035	Folonzo2	WGS	GENOMIC	PAIRED	HiSeq X Ten	11448934829	39024631	4217103859	9e319d97f89c5da9fb2225fce193287a	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920261/SRR18920261
SRR18920262	SRX14997891	Folonzo1	SAMN27766034	Folonzo1	WGS	GENOMIC	PAIRED	HiSeq X Ten	10681599052	36778251	4093005641	3a5581869f3aa80e22b85fdf3a5280fb	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920262/SRR18920262
