run_accession	experiment_accession	experiment_alias	biosample	sample_alias	library_strategy	library_source	library_layout	instrument_model	total_bases	total_spots	sra_size_bytes	md5	url
SRR18920179	SRX14997974	Kiribina65	SAMN27766183	Kiribina65	WGS	GENOMIC	PAIRED	HiSeq X Ten	18217482505	61453182	5798375053	b3aacaccc4a8a203143d89d1d2cc78a5	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920179/SRR18920179
SRR18920180	SRX14997973	Kiribina64	SAMN27766182	Kiribina64	WGS	GENOMIC	PAIRED	HiSeq X Ten	12493581458	42079844	4062976199	948a0c3129e3e3cda8a6f177ea789953	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920180/SRR18920180
SRR18920181	SRX14997972	Kiribina63	SAMN27766181	Kiribina63	WGS	GENOMIC	PAIRED	HiSeq X Ten	13415986599	45160011	4562973262	b602def65dc57801d4de5acf45127649	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920181/SRR18920181
SRR18920182	SRX14997971	Kiribina62	SAMN27766180	Kiribina62	WGS	GENOMIC	PAIRED	HiSeq X Ten	12966945667	43674204	4332574178	2afb92bc2edf6296b8db6c96401b1d95	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920182/SRR18920182
SRR18920183	SRX14997970	Kiribina61	SAMN27766179	Kiribina61	WGS	GENOMIC	PAIRED	HiSeq X Ten	13057929729	43943578	4428857552	21195a2a563c5bf25f7ff4a1ff0883c8	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920183/SRR18920183
SRR18920184	SRX14997969	Kiribina60	SAMN27766178	Kiribina60	WGS	GENOMIC	PAIRED	HiSeq X Ten	9814270268	33049072	3203479181	b66f8681822420fbaf17185d94c6c95e	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920184/SRR18920184
SRR18920185	SRX14997968	Kiribina59	SAMN27766177	Kiribina59	WGS	GENOMIC	PAIRED	HiSeq X Ten	13776777712	46433339	4520812526	ec11ff9ac496446e493fe9158e1e3c76	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920185/SRR18920185
SRR18920186	SRX14997967	Kiribina58	SAMN27766176	Kiribina58	WGS	GENOMIC	PAIRED	HiSeq X Ten	13975389778	46960185	4430072701	0416b6c9e8528b4d956ccac8984ab698	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920186/SRR18920186
SRR18920187	SRX14997966	Kiribina57	SAMN27766175	Kiribina57	WGS	GENOMIC	PAIRED	HiSeq X Ten	13521337384	45784295	4261880631	f01c26bc7d1dc68f8a90ec6ce5d09d18	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920187/SRR18920187
SRR18920188	SRX14997965	Kiribina56	SAMN27766174	Kiribina56	WGS	GENOMIC	PAIRED	HiSeq X Ten	13539645881	45531816	4537034767	be5ea99bffaabf8020fc1a2eb9401122	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920188/SRR18920188
SRR18920189	SRX14997964	Folonzo15	SAMN27766048	Folonzo15	WGS	GENOMIC	PAIRED	HiSeq X Ten	36415708270	123017547	12138104598	995f6af0f690e6045b9cabe8bfa8c1ba	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920189/SRR18920189
SRR18920190	SRX14997963	Kiribina55	SAMN27766173	Kiribina55	WGS	GENOMIC	PAIRED	HiSeq X Ten	13760908277	46231362	4299127329	30951b3fcb1cc824a31b8ac7c3bd0a22	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920190/SRR18920190
SRR18920191	SRX14997962	Kiribina54	SAMN27766172	Kiribina54	WGS	GENOMIC	PAIRED	HiSeq X Ten	12417648824	41897352	3947256530	d10840fc3933dfa1c70df2f3ac6fd0c7	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920191/SRR18920191
SRR18920192	SRX14997961	Kiribina53	SAMN27766171	Kiribina53	WGS	GENOMIC	PAIRED	HiSeq X Ten	13628618319	46005677	4732519915	fe5a35c7cb6d7e3a315115a216181292	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920192/SRR18920192
SRR18920193	SRX14997960	Kiribina52	SAMN27766170	Kiribina52	WGS	GENOMIC	PAIRED	HiSeq X Ten	11674272052	39472619	4106138413	8979c9dda757f892f39bb5ed9d15343d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920193/SRR18920193
SRR18920194	SRX14997959	Kiribina51	SAMN27766169	Kiribina51	WGS	GENOMIC	PAIRED	HiSeq X Ten	11960794705	40297471	3901402212	209dbe3af74f87a21d37337a74324c4f	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920194/SRR18920194
SRR18920195	SRX14997958	Kiribina50	SAMN27766168	Kiribina50	WGS	GENOMIC	PAIRED	HiSeq X Ten	14970731823	50305411	4817101223	dc079b14bfaa9d67b3724af227c2f3dd	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920195/SRR18920195
SRR18920196	SRX14997957	Kiribina49	SAMN27766167	Kiribina49	WGS	GENOMIC	PAIRED	HiSeq X Ten	11957678010	40115977	4629894455	c81b2ba9be2933f6cdbe6e82c9a0991c	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920196/SRR18920196
SRR18920197	SRX14997956	Kiribina48	SAMN27766166	Kiribina48	WGS	GENOMIC	PAIRED	HiSeq X Ten	10857410915	36545730	3740752901	243241327ad29ed14f304f74692fb2eb	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920197/SRR18920197
SRR18920198	SRX14997955	Kiribina47	SAMN27766165	Kiribina47	WGS	GENOMIC	PAIRED	HiSeq X Ten	11131214243	37462492	4835024197	8e3d5c917a04dde3f8fb072299899dc7	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920198/SRR18920198
SRR18920199	SRX14997954	Kiribina46	SAMN27766164	Kiribina46	WGS	GENOMIC	PAIRED	HiSeq X Ten	12499262545	42313053	5120334433	42dfe859d5d02afe2879d4fbbb9f513f	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920199/SRR18920199
SRR18920200	SRX14997953	Folonzo14	SAMN27766047	Folonzo14	WGS	GENOMIC	PAIRED	HiSeq X Ten	13660826358	46200383	4610102020	eb304131a0d1390264464aaa873182c4	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920200/SRR18920200
SRR18920201	SRX14997952	Kiribina45	SAMN27766163	Kiribina45	WGS	GENOMIC	PAIRED	HiSeq X Ten	10836888701	36447431	4771421755	e44b0c462c57cdf4e11529bd38a12aa0	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920201/SRR18920201
SRR18920202	SRX14997951	Kiribina44	SAMN27766162	Kiribina44	WGS	GENOMIC	PAIRED	HiSeq X Ten	11569812199	38980527	4909897762	677d7fd0250fe7a4e0ca7ec5c06b9c60	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920202/SRR18920202
SRR18920203	SRX14997950	Kiribina43	SAMN27766161	Kiribina43	WGS	GENOMIC	PAIRED	HiSeq X Ten	10112262969	34081191	4378791758	e188a2f591c055e7f37756fd25bb1434	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920203/SRR18920203
SRR18920204	SRX14997949	Kiribina15	SAMN27766133	Kiribina15	WGS	GENOMIC	PAIRED	HiSeq X Ten	12355373707	41899587	3926928512	b1ecc701aab7bf1f80c8011eecf39fea	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920204/SRR18920204
SRR18920205	SRX14997948	Kiribina14	SAMN27766132	Kiribina14	WGS	GENOMIC	PAIRED	HiSeq X Ten	12381012234	41955391	3943922645	7c3dd94999d7c605269d3246ea655238	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920205/SRR18920205
SRR18920206	SRX14997947	Kiribina13	SAMN27766131	Kiribina13	WGS	GENOMIC	PAIRED	HiSeq X Ten	12914786345	43462899	4540249567	31e0117b02472d5fd5c58b2a677aaa64	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920206/SRR18920206
SRR18920207	SRX14997946	Kiribina12	SAMN27766130	Kiribina12	WGS	GENOMIC	PAIRED	HiSeq X Ten	12916740387	43487522	4046867534	538256f0d10eab2c039baf75ffbb9ef9	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920207/SRR18920207
SRR18920208	SRX14997945	Kiribina11	SAMN27766129	Kiribina11	WGS	GENOMIC	PAIRED	HiSeq X Ten	12152973067	41018866	4049631349	eb44ab8d758b8c0b0321dcb0fc1651f4	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920208/SRR18920208
SRR18920209	SRX14997944	Kiribina10	SAMN27766128	Kiribina10	WGS	GENOMIC	PAIRED	HiSeq X Ten	11302759429	38128260	3757531515	1dea23a1266f3e76395ad99b93bdc680	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920209/SRR18920209
SRR18920210	SRX14997943	Kiribina9	SAMN27766127	Kiribina9	WGS	GENOMIC	PAIRED	HiSeq X Ten	14244153740	47860338	4639120450	39bf214de9c6626024f51657d541e2ec	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920210/SRR18920210
SRR18920211	SRX14997942	Kiribina8	SAMN27766126	Kiribina8	WGS	GENOMIC	PAIRED	HiSeq X Ten	13774127855	46399239	4479950644	c4fbce3c69595d2b6ee597c75b98a274	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920211/SRR18920211
SRR18920212	SRX14997941	Kiribina7	SAMN27766125	Kiribina7	WGS	GENOMIC	PAIRED	HiSeq X Ten	11895058478	40213623	3803734285	3522b782e4572fe227f915dda9da3688	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920212/SRR18920212
SRR18920213	SRX14997940	Kiribina6	SAMN27766124	Kiribina6	WGS	GENOMIC	PAIRED	HiSeq X Ten	11433417275	38624654	3915844072	1754c374422b498e40a10b3447efba80	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920213/SRR18920213
SRR18920214	SRX14997939	Folonzo10	SAMN27766043	Folonzo10	WGS	GENOMIC	PAIRED	HiSeq X Ten	12152930683	41130385	3877426050	89b4fa95c3924f118f011b5a95024f7d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920214/SRR18920214
SRR18920215	SRX14997938	Kiribina5	SAMN27766123	Kiribina5	WGS	GENOMIC	PAIRED	HiSeq X Ten	11604913442	39094244	3870719667	3a33ed4d9069c629dacf981560278846	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920215/SRR18920215
SRR18920216	SRX14997937	Kiribina4	SAMN27766122	Kiribina4	WGS	GENOMIC	PAIRED	HiSeq X Ten	12802686380	43072632	4323319801	2ca2a6974c0f13c866b45f4ade4e25f9	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920216/SRR18920216
